Options,Statement,Location,Variables,Num of config var,Num of program var,,,,
back_log,if (back_log <= 0),n,1,0,num,,one conf ,107,
back_log,if (back_log > 255),n,1,0,num,,one conf + pro,166,
back_log,if (back_log == 0 && (back_log = max_connections) > 65535),n,2,0,num,,more thn one  conf ,12,
big_tables,if ((thd->variables.big_tables) && !(select_options & SELECT_SMALL_RESULT)),n,1,1,bool,,more thn one + pro ,8,
bulk_insert_buffer_size,if (num_keys == 0 || num_keys * 16384 > cache_size),n,1,1,num,,simple,241,
bulk_insert_buffer_size,if (rows && rows * total_keylength < cache_size),n,1,2,bool,,complicte,52,
concurrent_insert,if (using_concurrent_insert),n,1,0,bool,,,,
concurrent_insert,if (share->concurrent_insert),n,1,0,bool,,,,
concurrent_insert,if (concurrent_insert),n,1,0,bool,,,,
concurrent_insert,if (myisam_concurrent_insert),n,1,0,bool,,,,
concurrent_insert,if (share->concurrent_insert),n,1,0,bool,,,,
concurrent_insert,if (info->s->concurrent_insert),n,1,0,bool,,,,
concurrent_insert,if (param->info->s->concurrent_insert),n,1,0,bool,,,,
connect_timeout,if (opt_connect_timeout),n,1,0,num,,,,
connect_timeout,if (!timeout_sec || (timeout_sec > INT_MAX / 1000)),n,1,0,num,,,,
connect_timeout,"if (!WaitNamedPipe(pipe_name, connect_timeout))",y,1,1,num,,,,
connect_timeout,"if (WaitForSingleObject(connect_named_mutex, connect_timeout) !=0)",y,1,1,num,,,,
connect_timeout,"if (sslconnect(ssl_fd, net->vio, (long)(mysql->options.connect_timeout), ssl_session, &ssl_error, nullptr))",y,1,4,num,,,,
connect_timeout,"if (mysql->options.connect_timeout && !ctx->non_blocking && (vio_io_wait(net->vio, 0,get_vio_connect_timeout(mysql)) < 1))",y,1,3,num,,,,
eq_range_index_dive_limit,if (limit == 0),n,1,0,num,,,,
eq_range_index_dive_limit,if (limit == 1),n,1,0,num,,,,
eq_range_index_dive_limit,if (*count >= limit),n,1,1,num,,,,
event_scheduler,if (opt_event_scheduler != Events::EVENTS_DISABLED && !event_already_exists),n,1,1,enum,,,,
event_scheduler,if (opt_event_scheduler != Events::EVENTS_DISABLED),n,1,0,enum,,,,
event_scheduler,if (opt_event_scheduler == Events::EVENTS_DISABLED),n,1,0,enum,,,,
event_scheduler,"if (event_queue->init_queue() || load_events_from_db(thd, event_queue) || (opt_event_scheduler == EVENTS_ON && scheduler->start(&err_no)))",y,1,2,enum,,,,
event_scheduler,if (Events::opt_event_scheduler == Events::EVENTS_DISABLED),n,1,0,enum,,,,
event_scheduler,if (ret),n,1,0,enum,,,,
event_scheduler,if (Events::opt_event_scheduler == Events::EVENTS_ON),n,1,0,enum,,,,
flush,if (flush_logs),n,1,0,bool,,,,
flush,if ((opt_lock_all_tables || opt_master_data ||(opt_single_transaction && flush_logs)) &&do_flush_tables_read_lock(mysql)),y,1,4,bool,,,,
flush,if (opt_lock_all_tables || opt_master_data ||(opt_single_transaction && flush_logs) || opt_delete_master_logs),n,1,4,bool,,,,
flush,if (flush_logs || opt_delete_master_logs),n,1,1,bool,,,,
