Options,Statement,Location,Variables,Num of config var,Num of program var,,,,
log_executor_stats,"			if (log_executor_stats)
",src\backend\tcop\pquery.c,log_executor_stats,1,0,,,,
log_statement_stats,if (save_log_statement_stats),src\backend\tcop\postgres.c:979,log_statement_stats,1,0,,,,
log_statement_stats,if (save_log_statement_stats),src\backend\tcop\postgres.c:1316,log_statement_stats,1,0,,,,
log_statement_stats,if (save_log_statement_stats),src\backend\tcop\postgres.c:1354,log_statement_stats,1,0,,,,
log_statement_stats,if (save_log_statement_stats),src\backend\tcop\postgres.c:1575,log_statement_stats,1,0,,,,
log_statement_stats,if (save_log_statement_stats),src\backend\tcop\postgres.c:1645,log_statement_stats,1,0,,,,
log_statement_stats,if (save_log_statement_stats),src\backend\tcop\postgres.c:2037,log_statement_stats,1,0,,,,
log_statement_stats,if (save_log_statement_stats),src\backend\tcop\postgres.c:2114,log_statement_stats,1,0,,,,
log_statement_stats,if (save_log_statement_stats),src\backend\tcop\postgres.c:2272,log_statement_stats,1,0,,,,
track_activities,if (!beentry || !pgstat_track_activities),src\backend\utils\activity\backend_progress.c:30,pgstat_track_activities,1,1,,,,
track_activities,if (!beentry || !pgstat_track_activities),src\backend\utils\activity\backend_progress.c:53,pgstat_track_activities,1,1,,,,
track_activities,if (!beentry || !pgstat_track_activities || nparam == 0),src\backend\utils\activity\backend_progress.c:75,pgstat_track_activities,1,2,,,,
track_activities,if (!beentry || !pgstat_track_activities),src\backend\utils\activity\backend_progress.c:102,pgstat_track_activities,1,1,,,,
track_activities,if (!pgstat_track_activities),src\backend\utils\activity\backend_status.c:533,pgstat_track_activities,1,0,,,,
track_activities,if (!beentry || !pgstat_track_activities),src\backend\utils\activity\backend_status.c:639,pgstat_track_activities,1,1,,,,
track_activities,if (!pgstat_track_activities || !beentry),src\backend\utils\activity\backend_status.c:704,pgstat_track_activities,1,1,,,,
track_counts,if (!autovacuum_start_daemon || !pgstat_track_counts),src\backend\postmaster\autovacuum.c:3338,pgstat_track_counts,2,0,,,,
track_counts,if (autovacuum_start_daemon && !pgstat_track_counts),src\backend\postmaster\autovacuum.c:3392,pgstat_track_counts,2,0,,,,
track_io_timing,if (track_io_timing),src\backend\access\heap\vacuumlazy.c:518,track_io_timing,1,0,,,,
track_io_timing,if (track_io_timing),src\backend\access\heap\vacuumlazy.c:841,track_io_timing,1,0,,,,
track_io_timing,if (track_io_timing),src\backend\commands\analyze.c:355,track_io_timing,1,0,,,,
track_io_timing,if (track_io_timing),src\backend\commands\analyze.c:809,track_io_timing,1,0,,,,
track_io_timing,if (track_io_timing),src\backend\commands\explain.c:3617,track_io_timing,1,0,,,,
track_io_timing,if (track_io_timing),src\backend\storage\buffer\bufmgr.c:1016,track_io_timing,1,0,,,,
track_io_timing,if (track_io_timing),src\backend\storage\buffer\bufmgr.c:1021,track_io_timing,1,0,,,,
track_io_timing,if (track_io_timing),src\backend\storage\buffer\bufmgr.c:2917,track_io_timing,1,0,,,,
track_io_timing,if (track_io_timing),src\backend\storage\buffer\bufmgr.c:2929,track_io_timing,1,0,,,,
track_wal_io_timing,if (track_wal_io_timing),src\backend\access\transam\xlog.c:2573,track_wal_io_timing,1,0,,,,
track_wal_io_timing,if (track_wal_io_timing),src\backend\access\transam\xlog.c:2584,track_wal_io_timing,1,0,,,,
track_wal_io_timing,if (track_wal_io_timing),src\backend\access\transam\xlog.c:10879,track_wal_io_timing,1,0,,,,
track_wal_io_timing,if (track_wal_io_timing),src\backend\access\transam\xlog.c:10930,track_wal_io_timing,1,0,,,,
update_process_title,if (update_process_title),src\backend\replication\basebackup.c:946,update_process_title,1,0,,,,
update_process_title,if (update_process_title),src\backend\replication\syncrep.c:216,update_process_title,1,0,,,,
update_process_title,if (update_process_title),src\backend\replication\walreceiver.c:705,update_process_title,1,0,,,,
update_process_title,if (update_process_title),src\backend\replication\walreceiver.c:987,update_process_title,1,0,,,,
update_process_title,if (update_process_title),src\backend\replication\walsender.c:2865,update_process_title,1,0,,,,
update_process_title,if (update_process_title && new_status == NULL),src\backend\storage\buffer\bufmgr.c:4177,update_process_title,1,1,,,,
update_process_title,"	if (report_waiting && (log_recovery_conflict_waits || update_process_title))
",src\backend\storage\ipc\standby.c:349,update_process_title,1,2,,,,
update_process_title,if (update_process_title),src\backend\storage\lmgr\lock.c:1823,update_process_title,1,0,,,,
update_process_title,if (update_process_title),src\backend\storage\lmgr\lock.c:1882,update_process_title,1,0,,,,
update_process_title,if (update_process_title),src\backend\storage\lmgr\lock.c:1896,update_process_title,1,0,,,,
update_process_title,if (!update_process_title),src\backend\utils\misc\ps_status.c:353,update_process_title,1,0,,,,
autovacuum,if (!autovacuum_start_daemon || !pgstat_track_counts),src\backend\postmaster\autovacuum.c:3338,autovacuum_start_daemon,2,0,,,,
autovacuum,if (autovacuum_start_daemon && !pgstat_track_counts),src\backend\postmaster\autovacuum.c:3392,autovacuum_start_daemon,2,0,,,,
trace_notify,if (Trace_notify),src\backend\commands\async.c:636,Trace_notify,1,0,,,,
trace_notify,if (Trace_notify),src\backend\commands\async.c:774,Trace_notify,1,0,,,,
trace_notify,if (Trace_notify),src\backend\commands\async.c:788,Trace_notify,1,0,,,,
trace_notify,if (Trace_notify),src\backend\commands\async.c:806,Trace_notify,1,0,,,,
trace_notify,if (Trace_notify),src\backend\commands\async.c:902,Trace_notify,1,0,,,,
trace_notify,if (Trace_notify),src\backend\commands\async.c:1013,Trace_notify,1,0,,,,
trace_notify,if (Trace_notify),src\backend\commands\async.c:1088,Trace_notify,1,0,,,,
trace_notify,if (Trace_notify),src\backend\commands\async.c:1201,Trace_notify,1,0,,,,
trace_notify,if (Trace_notify),src\backend\commands\async.c:1230,Trace_notify,1,0,,,,
trace_notify,if (Trace_notify),src\backend\commands\async.c:2260,Trace_notify,1,0,,,,
trace_notify,if (Trace_notify),src\backend\commands\async.c:2284,Trace_notify,1,0,,,,
log_lock_waits,"		if (log_lock_waits && deadlock_state != DS_NOT_YET_CHECKED)
",src\backend\storage\lmgr\proc.c:1467,log_lock_waits,1,1,,,,
log_recovery_conflict_waits,if (log_recovery_conflict_waits && waitStart == 0),src\backend\storage\buffer\bufmgr.c:4215,log_recovery_conflict_waits,1,1,,,,
log_recovery_conflict_waits,"	if (report_waiting && (log_recovery_conflict_waits || update_process_title))
",src\backend\storage\ipc\standby.c:349,log_recovery_conflict_waits,1,2,,,,
log_recovery_conflict_waits,else if (log_recovery_conflict_waits),src\backend\storage\lmgr\proc.c:1294,log_recovery_conflict_waits,1,0,,,,
log_hostname,"if (log_hostname &&
		ret == 0 &&
		strspn(remote_host, ""0123456789."") < strlen(remote_host) &&
		strspn(remote_host, ""0123456789ABCDEFabcdef:"") < strlen(remote_host))",src\backend\postmaster\postmaster.c:4434,log_hostname,1,3,,,,
transform_null_equals,"if (Transform_null_equals &&
		list_length(a->name) == 1 &&
		strcmp(strVal(linitial(a->name)), ""="") == 0 &&
		(exprIsNullConstant(lexpr) || exprIsNullConstant(rexpr)) &&
		(!IsA(lexpr, CaseTestExpr) && !IsA(rexpr, CaseTestExpr)))",src\backend\parser\parse_expr.c:878,Transform_null_equals,1,3,,,,
db_user_namespace,if (Db_user_namespace),src\backend\libpq\auth.c:884,Db_user_namespace,1,0,,,,
db_user_namespace,if (Db_user_namespace),src\backend\libpq\hba.c:1362,Db_user_namespace,1,0,,,,
